1	0	how are glacier caves formed ?	a partly submerged glacier cave on perito moreno glacier .	0.133333333333 0.972964406886 0.2 1.45944661033 
1	0	how are glacier caves formed ?	the ice facade is approximately 60 m high	0.133333333333 0.972964406886 0.2 1.45944661033 
1	0	how are glacier caves formed ?	ice formations in the titlis glacier cave	0.133333333333 0.972964406886 0.2 1.45944661033 
1	1	how are glacier caves formed ?	a glacier cave is a cave formed within the ice of a glacier .	0.133333333333 0.972964406886 0.2 1.45944661033 
1	0	how are glacier caves formed ?	glacier caves are often called ice caves , but this term is properly used to describe bedrock caves that contain year-round ice .	0.133333333333 0.972964406886 0.2 1.45944661033 
12	1	how much is 1 tablespoon of water	this tablespoon has a capacity of about 15 ml .	0.0 0.0 0.0 0.0 
12	0	how much is 1 tablespoon of water	measuring spoons	0.0 0.0 0.0 0.0 
12	0	how much is 1 tablespoon of water	in the us and parts of canada , a tablespoon is the largest type of spoon used for eating from a bowl .	0.0 0.0 0.0 0.0 
12	0	how much is 1 tablespoon of water	in the uk , europe and most commonwealth countries , a tablespoon is a type of large spoon usually used for serving .	0.0 0.0 0.0 0.0 
12	0	how much is 1 tablespoon of water	in countries where a tablespoon is a serving spoon , the nearest equivalent to the us tablespoon is either the dessert spoon or the soup spoon .	0.0 0.0 0.0 0.0 
12	0	how much is 1 tablespoon of water	a tablespoonful , nominally the capacity of one tablespoon , is commonly used as a measure of volume in cooking .	0.0666666666667 0.0774920587374 0.0833333333333 0.0968650734217 
12	0	how much is 1 tablespoon of water	it is abbreviated as t , tb , tbs , tbsp , tblsp , or tblspn .	0.0666666666667 0.0774920587374 0.0833333333333 0.0968650734217 
12	0	how much is 1 tablespoon of water	the capacity of ordinary tablespoons is not regulated by law and is subject to considerable variation .	0.0666666666667 0.0774920587374 0.0833333333333 0.0968650734217 
12	1	how much is 1 tablespoon of water	in the usa one tablespoon ( measurement unit ) is approximately 15 ml ; the capacity of an actual tablespoon ( dining utensil ) ranges from 7 ml to 14 ml .	0.0666666666667 0.0774920587374 0.0833333333333 0.0968650734217 
12	1	how much is 1 tablespoon of water	in australia one tablespoon ( measurement unit ) is 20 ml .	0.0666666666667 0.0774920587374 0.0833333333333 0.0968650734217 
13	0	how much are the harry potter movies worth	harry potter is a series of seven fantasy novels written by the british author j. k. rowling .	0.0625 0.013035649431 0.0 0.0 
13	0	how much are the harry potter movies worth	the books chronicle the adventures of a wizard , harry potter , and his friends ronald weasley and hermione granger , all of whom are students at hogwarts school of witchcraft and wizardry .	0.0625 0.013035649431 0.0 0.0 
13	0	how much are the harry potter movies worth	the main story arc concerns harry 's quest to overcome the dark wizard lord voldemort , whose aims are to become immortal , conquer the wizarding world , subjugate non-magical people , and destroy all those who stand in his	0.0625 0.013035649431 0.0 0.0 
13	0	how much are the harry potter movies worth	since the release of the first novel harry potter and the philosopher 's stone on 30 june 1997 , the books have gained immense popularity , critical acclaim and commercial success worldwide .	0.0666666666667 0.0139046927264 0.0 0.0 
13	0	how much are the harry potter movies worth	the series has also had some share of criticism , including concern for the increasingly dark tone .	0.0666666666667 0.0139046927264 0.0 0.0 
13	0	how much are the harry potter movies worth	, the book series has sold about 450 million copies , making it the best-selling book series in history , and has been translated into 67 languages .	0.0666666666667 0.0139046927264 0.0 0.0 
13	0	how much are the harry potter movies worth	the last four books consecutively set records as the fastest-selling books in history .	0.0666666666667 0.0139046927264 0.0 0.0 
13	0	how much are the harry potter movies worth	a series of many genres , including fantasy and coming of age ( with elements of mystery , thriller , adventure , and romance ) , it has many cultural meanings and references .	0.0666666666667 0.0139046927264 0.0 0.0 
13	0	how much are the harry potter movies worth	according to rowling , the main theme is death .	0.0666666666667 0.0139046927264 0.0 0.0 
13	0	how much are the harry potter movies worth	there are also many other themes in the series , such as prejudice and corruption .	0.0666666666667 0.0139046927264 0.0 0.0 
